COUNTRY,CODE
ASEAN-5,0
Advanced Economies,1
"Afghanistan, Islamic Republic of",2
Albania,3
Algeria,4
"Andorra, Principality of",5
Angola,6
Antigua and Barbuda,7
Argentina,8
"Armenia, Republic of",9
"Aruba, Kingdom of the Netherlands",10
Australia,11
Austria,12
"Azerbaijan, Republic of",13
"Bahamas, The",14
"Bahrain, Kingdom of",15
Bangladesh,16
Barbados,17
"Belarus, Republic of",18
Belgium,19
Belize,20
Benin,21
Bhutan,22
Bolivia,23
Bosnia and Herzegovina,24
Botswana,25
Brazil,26
Brunei Darussalam,27
Bulgaria,28
Burkina Faso,29
Burundi,30
Cabo Verde,31
Cambodia,32
Cameroon,33
Canada,34
Central African Republic,35
Chad,36
Chile,37
"China, People's Republic of",38
Colombia,39
"Comoros, Union of the",40
"Congo, Democratic Republic of the",41
"Congo, Republic of",42
Costa Rica,43
"Croatia, Republic of",44
Cyprus,45
Czech Republic,46
Côte d'Ivoire,47
Denmark,48
Djibouti,49
Dominica,50
Dominican Republic,51
Ecuador,52
"Egypt, Arab Republic of",53
El Salvador,54
Emerging Market and Developing Economies,55
Emerging and Developing Asia,56
Emerging and Developing Europe,57
"Equatorial Guinea, Republic of",58
"Eritrea, The State of",59
"Estonia, Republic of",60
"Eswatini, Kingdom of",61
"Ethiopia, The Federal Democratic Republic of",62
Euro Area (EA),63
European Union (EU),64
"Fiji, Republic of",65
Finland,66
France,67
G7,68
Gabon,69
"Gambia, The",70
Georgia,71
Germany,72
Ghana,73
Greece,74
Grenada,75
Guatemala,76
Guinea,77
Guinea-Bissau,78
Guyana,79
Haiti,80
Honduras,81
"Hong Kong Special Administrative Region, People's Republic of China",82
Hungary,83
Iceland,84
India,85
Indonesia,86
"Iran, Islamic Republic of",87
Iraq,88
Ireland,89
Israel,90
Italy,91
Jamaica,92
Japan,93
Jordan,94
"Kazakhstan, Republic of",95
Kenya,96
Kiribati,97
"Korea, Republic of",98
"Kosovo, Republic of",99
Kuwait,100
Kyrgyz Republic,101
Lao People's Democratic Republic,102
Latin America and the Caribbean (LAC),103
"Latvia, Republic of",104
Lebanon,105
"Lesotho, Kingdom of",106
Liberia,107
Libya,108
"Liechtenstein, Principality of",109
"Lithuania, Republic of",110
Luxembourg,111
"Macao Special Administrative Region, People's Republic of China",112
"Madagascar, Republic of",113
Malawi,114
Malaysia,115
Maldives,116
Mali,117
Malta,118
"Marshall Islands, Republic of the",119
"Mauritania, Islamic Republic of",120
Mauritius,121
Mexico,122
"Micronesia, Federated States of",123
Middle East and Central Asia,124
"Moldova, Republic of",125
Mongolia,126
Montenegro,127
Morocco,128
"Mozambique, Republic of",129
Myanmar,130
Namibia,131
"Nauru, Republic of",132
Nepal,133
"Netherlands, The",134
New Zealand,135
Nicaragua,136
Niger,137
Nigeria,138
"North Macedonia, Republic of",139
Norway,140
Oman,141
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),142
Pakistan,143
"Palau, Republic of",144
Panama,145
Papua New Guinea,146
Paraguay,147
Peru,148
Philippines,149
"Poland, Republic of",150
Portugal,151
Puerto Rico,152
Qatar,153
Romania,154
Russian Federation,155
Rwanda,156
Samoa,157
"San Marino, Republic of",158
Saudi Arabia,159
Senegal,160
"Serbia, Republic of",161
Seychelles,162
Sierra Leone,163
Singapore,164
Slovak Republic,165
"Slovenia, Republic of",166
Solomon Islands,167
Somalia,168
South Africa,169
"South Sudan, Republic of",170
Spain,171
Sri Lanka,172
St. Kitts and Nevis,173
St. Lucia,174
St. Vincent and the Grenadines,175
Sub-Saharan Africa (SSA),176
Sudan,177
Suriname,178
Sweden,179
Switzerland,180
Syrian Arab Republic,181
"São Tomé and Príncipe, Democratic Republic of",182
Taiwan Province of China,183
"Tajikistan, Republic of",184
"Tanzania, United Republic of",185
Thailand,186
"Timor-Leste, Democratic Republic of",187
Togo,188
Tonga,189
Trinidad and Tobago,190
Tunisia,191
Turkmenistan,192
Tuvalu,193
"Türkiye, Republic of",194
Uganda,195
Ukraine,196
United Arab Emirates,197
United Kingdom,198
United States,199
Uruguay,200
"Uzbekistan, Republic of",201
Vanuatu,202
"Venezuela, República Bolivariana de",203
Vietnam,204
West Bank and Gaza,205
World,206
"Yemen, Republic of",207
Zambia,208
Zimbabwe,209
